palavra,fonetica-divisao_silabica
a ,a 
a ,a 
á-bê-cê ,ˌa.bˌe.sˈe 
a-pro·pó·si·to ,a.pɾo.pˈɔ.zi.tʊ 
à-von·ta·de ,ˌa.võ.tˈa.dʒɪ 
a·a ,a.ˈa 
a·al ,a.ˈaw 
ab-re·a·ti·vo ,ab.ɦe.a.tʃˈi.vʊ 
ab-ro·ga·do ,ab.ɦo.gˈa.dʊ 
ab-ro·ga·dor ,ab.ɦo.ga.dˈoɾ 
ab-ro·ga·dor ,ab.ɦo.ga.dˈoɾ 
ab-ro·gar ,ab.ɦo.gˈaɾ 
ab-ro·ga·tó·ri·o ,ab.ɦo.ga.tˈɔ.ɾjʊ 
a·ba ,ˈa.bɐ 
a·ba ,ˈa.bɐ 
a·ba·can·to  ,a.ba.kˈɐ̃.tʊ 
a·ba·ca·te ,a.ba.kˈa.tʃɪ 
a·ba·ca·te ,a.ba.kˈa.tʃɪ 
a·ba·ca·te ,a.ba.kˈa.tʃɪ 
a·ba·ca·xi ,a.ba.ka.ʃˈi
a·ba·ca·xi ,a.ba.ka.ʃˈi 
a·ba·ci·al ,a.ba.si.ˈaw 
á·ba·co ,ˈa.ba.kʊ 
a·ba·da ,a.bˈa.dɐ 
a·ba·dá·gi·o ,a.ba.dˈa.ʒjʊ 
a·ba·dar ,a.ba.dˈaɾ 
a·ba·de ,a.bˈa.dʒɪ 
a·ba·de·jo ,a.ba.dˈe.ʒʊ 
a·ba·des·sa ,a.ba.dˈe.sɐ 
a·ba·des·sar ,a.ba.de.sˈaɾ 
a·ba·di·a ,a.ba.dʒˈi.ɐ 
a·ba·di·a·do ,a.ba.dʒi.ˈa.dʊ 
a·ba·di·ar ,a.ba.dʒi.ˈaɾ 
a·ba·dir ,a.ba.dʒˈiɾ 
a·ba·do ,a.bˈa.dʊ 
a·ba·fa·da·men·te ,a.ba.fa.dã.mˈẽ.tʃɪ 
a·ba·fa·do ,a.ba.fˈa.dʊ 
a·ba·fa·do ,a.ba.fˈa.dʊ 
a·ba·fa·dor ,a.ba.fa.dˈoɾ 
a·ba·fa·dor ,a.ba.fa.dˈoɾ
a·ba·fa·men·to ,a.ba.fã.mˈẽ.tʊ 
a·ba·fan·te ,a.ba.fˈɐ̃.tʃɪ 
a·ba·far ,a.ba.fˈaɾ 
a·ba·far ,a.ba.fˈaɾ 
a·ba·fá·vel ,a.ba.fˈa.vew 
a·ba·fo ,a.bˈa.fʊ 
a·bai·xa ,a.bˈaj.ʃɐ 
a·bai·xa·do ,a.baj.ʃˈa.dʊ 
a·bai·xa·men·to ,a.baj.ʃã.mˈẽ.tʊ 
a·bai·xar ,a.baj.ʃˈaɾ 
a·bai·xo ,a.bˈaj.ʃʊ 
a·bai·xo-as·si·na·do ,a.bˌaj.ʃʊ.a.sĩ.nˈa.dʊ 
a·ba·jou·ja·do ,a.ba.ʒo.ʒˈa.dʊ 
a·ba·jou·jar ,a.ba.ʒo.ʒˈaɾ 
a·ba·jur ,a.ba.ʒˈuɾ 
a·ba·la·da ,a.ba.lˈa.dɐ 
a·ba·la·do ,a.ba.lˈa.dʊ 
a·ba·lan·ça·do ,a.ba.lɐ̃.sˈa.dʊ 
a·ba·lan·çar ,a.ba.lɐ̃.sˈaɾ 
a·ba·lar ,a.ba.lˈaɾ
a·bal·ça·do ,a.baw.sˈa.dʊ 
a·bal·çar ,a.baw.sˈaɾ 
a·ba·li·e·na·ção ,a.ba.ljẽ.na.sˈɐ̃w 
